Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Franklin Templeton Mutual Fund
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.6556;;;17-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.4820;;;18-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.8853;;;19-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.9150;;;20-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.2185;;;24-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;36.0364;;;25-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;35.6940;;;26-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;35.5212;;;27-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;34.2721;;;28-Feb-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;33.8262;;;02-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;34.4839;;;03-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;34.2449;;;04-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;34.3707;;;05-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;33.5647;;;06-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;32.3685;;;09-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;32.1293;;;11-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;29.5805;;;12-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;30.7355;;;13-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;28.7167;;;16-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;28.0184;;;17-Mar-2020
118534;Franklin India Equity Fund - Direct - Dividend;INF090I01FL1;INF090I01FM9;26.4874;;;18-Mar-2020
